USING: 
Simple TinyGPS library v. 13
by Mikal Hart

Initializing SD card...initialization failed!
----------------------------------------------------------------------------
Calibrating sensors...
MQ135 R0 for CO2 = 1316
MQ9 R0 for CO = 273
MQ4 R0 for NH4 = 95
-----------------------------------------------------------------------------
S|HD|LAT    |LONG   |DateTime               |Age|MQ4|MQ9|MQ135|CO2_ppm
a|OP
t
s
------------------------------------------------------------------------------
8|132|44.372520|26.154508|12/09/2017 13:37:12 |898|90|269|59|400.42
8|132|44.372722|26.154638|12/09/2017 13:37:14 |962|90|269|59|400.42
8|132|44.373027|26.154827|12/09/2017 13:37:17 |149|89|268|60|400.42
8|132|44.373233|26.154960|12/09/2017 13:37:19 |97|89|268|59|400.42
8|132|44.373443|26.155096|12/09/2017 13:37:21 |163|89|268|59|400.42
8|132|44.373661|26.155231|12/09/2017 13:37:23 |233|90|269|59|400.42
8|132|44.373859|26.155355|12/09/2017 13:37:25 |294|89|269|59|400.42
8|132|44.374042|26.155471|12/09/2017 13:37:27 |365|90|270|59|400.42
8|132|44.374210|26.155584|12/09/2017 13:37:29 |371|90|269|59|419.73
8|132|44.374378|26.155693|12/09/2017 13:37:31 |372|90|269|60|419.73
8|132|44.374553|26.155803|12/09/2017 13:37:33 |380|90|270|59|419.73
8|132|44.374736|26.155923|12/09/2017 13:37:35 |384|90|270|60|400.42
8|132|44.374916|26.156038|12/09/2017 13:37:37 |388|90|271|59|419.73
8|132|44.375080|26.156141|12/09/2017 13:37:39 |392|90|271|59|400.42
8|132|44.375232|26.156238|12/09/2017 13:37:41 |398|91|270|59|400.42
8|132|44.375392|26.156356|12/09/2017 13:37:43 |403|90|271|60|419.73
8|132|44.375560|26.156467|12/09/2017 13:37:45 |409|91|271|60|439.63
8|132|44.375728|26.156591|12/09/2017 13:37:47 |411|91|271|60|419.73
8|132|44.375911|26.156715|12/09/2017 13:37:49 |415|91|272|60|419.73
8|132|44.376091|26.156837|12/09/2017 13:37:51 |418|90|272|60|400.42
8|132|44.376266|26.156944|12/09/2017 13:37:53 |422|92|272|56|419.73
8|132|44.376453|26.157062|12/09/2017 13:37:55 |426|92|272|60|419.73
8|132|44.376651|26.157182|12/09/2017 13:37:57 |429|91|273|60|419.73
8|132|44.376846|26.157308|12/09/2017 13:37:59 |431|91|272|60|419.73
8|132|44.377052|26.157432|12/09/2017 13:38:01 |439|91|273|60|400.42
8|132|44.377246|26.157556|12/09/2017 13:38:03 |448|91|273|60|419.73
8|132|44.377422|26.157667|12/09/2017 13:38:05 |447|91|274|60|419.73
8|151|44.377555|26.157756|12/09/2017 13:38:07 |452|91|274|60|439.63
8|132|44.377624|26.157800|12/09/2017 13:38:09 |459|91|274|60|419.73
8|132|44.377662|26.157823|12/09/2017 13:38:11 |466|91|274|60|419.73
8|132|44.377754|26.157852|12/09/2017 13:38:13 |468|91|274|61|419.73
8|132|44.377864|26.157938|12/09/2017 13:38:15 |474|91|275|61|419.73
8|144|44.378002|26.158039|12/09/2017 13:38:17 |480|91|275|60|439.63
8|132|44.378166|26.158153|12/09/2017 13:38:19 |480|91|276|61|460.12
8|132|44.378356|26.158271|12/09/2017 13:38:21 |492|92|276|61|439.63
8|132|44.378536|26.158386|12/09/2017 13:38:23 |493|91|276|61|439.63
8|132|44.378692|26.158487|12/09/2017 13:38:25 |496|91|277|61|439.63
8|132|44.378845|26.158596|12/09/2017 13:38:27 |503|92|277|61|439.63
8|132|44.379009|26.158712|12/09/2017 13:38:29 |508|92|278|62|439.63
8|132|44.379184|26.158824|12/09/2017 13:38:31 |508|92|278|61|439.63
8|132|44.379341|26.158924|12/09/2017 13:38:33 |515|92|279|62|460.12
8|132|44.379455|26.159004|12/09/2017 13:38:35 |522|92|279|62|460.12
8|132|44.379554|26.159067|12/09/2017 13:38:37 |525|92|279|62|460.12
8|132|44.379623|26.159109|12/09/2017 13:38:39 |532|92|279|62|460.12
8|132|44.379657|26.159132|12/09/2017 13:38:41 |538|92|279|62|460.12
8|132|44.379665|26.159139|12/09/2017 13:38:43 |556|92|279|62|460.12
8|132|44.379665|26.159139|12/09/2017 13:38:45 |556|92|279|62|460.12
8|132|44.379669|26.159143|12/09/2017 13:38:47 |562|92|279|62|460.12
8|132|44.379669|26.159143|12/09/2017 13:38:49 |563|93|280|62|460.12
8|132|44.379673|26.159147|12/09/2017 13:38:51 |567|93|279|62|460.12
8|132|44.379680|26.159156|12/09/2017 13:38:53 |562|93|279|62|481.23
8|132|44.379692|26.159158|12/09/2017 13:38:55 |569|93|279|62|460.12
8|132|44.379703|26.159164|12/09/2017 13:38:57 |567|93|279|62|460.12
8|132|44.379718|26.159173|12/09/2017 13:38:59 |570|93|279|62|460.12
8|132|44.379745|26.159187|12/09/2017 13:39:01 |580|93|280|62|460.12
8|132|44.379783|26.159212|12/09/2017 13:39:03 |582|94|282|63|502.96
8|132|44.379825|26.159233|12/09/2017 13:39:05 |587|94|283|64|525.31
8|132|44.379859|26.159252|12/09/2017 13:39:07 |589|94|284|65|525.31
8|132|44.379890|26.159261|12/09/2017 13:39:09 |597|94|285|65|525.31
8|132|44.379913|26.159267|12/09/2017 13:39:11 |598|95|285|65|525.31
8|132|44.379924|26.159275|12/09/2017 13:39:13 |613|95|286|65|525.31
8|132|44.379943|26.159284|12/09/2017 13:39:15 |607|95|286|65|525.31
8|132|44.379959|26.159292|12/09/2017 13:39:17 |611|95|286|65|502.96
8|132|44.379966|26.159299|12/09/2017 13:39:19 |625|95|286|64|525.31
8|132|44.379966|26.159299|12/09/2017 13:39:21 |629|95|286|65|525.31
8|132|44.379966|26.159301|12/09/2017 13:39:23 |627|95|286|64|525.31
8|132|44.379974|26.159303|12/09/2017 13:39:25 |639|94|286|64|525.31
8|132|44.379989|26.159311|12/09/2017 13:39:27 |631|95|285|64|502.96
8|132|44.380008|26.159320|12/09/2017 13:39:29 |646|96|285|64|502.96
8|132|44.380020|26.159320|12/09/2017 13:39:31 |647|95|284|64|502.96
8|132|44.380020|26.159320|12/09/2017 13:39:33 |653|95|285|64|502.96
8|132|44.380023|26.159315|12/09/2017 13:39:35 |660|95|284|64|502.96
8|152|44.380027|26.159315|12/09/2017 13:39:37 |668|94|283|64|502.96
8|132|44.380039|26.159324|12/09/2017 13:39:39 |660|94|283|64|481.23
8|132|44.380069|26.159376|12/09/2017 13:39:41 |670|95|283|64|481.23
8|132|44.380058|26.159496|12/09/2017 13:39:43 |669|94|283|64|502.96
8|132|44.380035|26.159675|12/09/2017 13:39:45 |672|94|284|63|502.96
8|132|44.380016|26.159896|12/09/2017 13:39:47 |677|94|283|64|502.96
8|132|44.380001|26.160125|12/09/2017 13:39:49 |683|94|283|63|502.96
8|132|44.379970|26.160364|12/09/2017 13:39:51 |687|94|283|63|502.96
8|132|44.379951|26.160596|12/09/2017 13:39:53 |696|93|283|63|481.23
8|131|44.379932|26.160844|12/09/2017 13:39:55 |694|93|283|63|481.23
8|131|44.379924|26.161108|12/09/2017 13:39:57 |704|94|283|63|481.23
8|131|44.379928|26.161361|12/09/2017 13:39:59 |707|93|283|63|481.23
8|131|44.379936|26.161611|12/09/2017 13:40:01 |710|93|284|63|460.12
8|131|44.379943|26.161876|12/09/2017 13:40:03 |716|92|283|63|481.23
8|131|44.379951|26.162151|12/09/2017 13:40:05 |722|93|283|63|481.23
8|131|44.379962|26.162448|12/09/2017 13:40:07 |727|92|283|63|481.23
8|131|44.379974|26.162757|12/09/2017 13:40:09 |731|92|283|63|481.23
8|139|44.379985|26.163078|12/09/2017 13:40:11 |735|91|282|63|481.23
8|131|44.379989|26.163408|12/09/2017 13:40:13 |735|91|283|63|481.23
8|131|44.379989|26.163743|12/09/2017 13:40:15 |741|91|282|63|481.23
8|131|44.379993|26.164081|12/09/2017 13:40:17 |744|91|282|63|481.23
8|131|44.379989|26.164432|12/09/2017 13:40:19 |748|91|282|62|460.12
8|131|44.379985|26.164775|12/09/2017 13:40:21 |758|91|282|62|460.12
8|131|44.379978|26.165092|12/09/2017 13:40:23 |756|91|282|63|460.12
8|164|44.379974|26.165363|12/09/2017 13:40:25 |757|91|281|62|481.23
8|131|44.379974|26.165582|12/09/2017 13:40:27 |764|91|281|62|460.12
8|131|44.379970|26.165761|12/09/2017 13:40:29 |768|91|281|62|460.12
8|131|44.379970|26.165912|12/09/2017 13:40:31 |770|92|281|62|460.12
8|131|44.379974|26.166015|12/09/2017 13:40:33 |779|91|281|62|460.12
8|131|44.379974|26.166099|12/09/2017 13:40:35 |782|91|280|62|439.63
8|131|44.379985|26.166187|12/09/2017 13:40:37 |786|91|280|61|460.12
8|131|44.379993|26.166303|12/09/2017 13:40:39 |794|91|280|62|460.12
8|131|44.379993|26.166456|12/09/2017 13:40:41 |795|92|281|62|460.12
8|131|44.379989|26.166608|12/09/2017 13:40:43 |798|92|281|63|481.23
8|131|44.379978|26.166740|12/09/2017 13:40:45 |805|92|281|63|481.23
8|131|44.379970|26.166852|12/09/2017 13:40:47 |806|92|282|63|481.23
8|131|44.379959|26.166952|12/09/2017 13:40:49 |807|92|283|64|502.96
8|131|44.379951|26.167043|12/09/2017 13:40:51 |817|92|284|64|502.96
8|131|44.379947|26.167152|12/09/2017 13:40:53 |820|92|285|65|525.31
8|131|44.379943|26.167259|12/09/2017 13:40:55 |823|93|286|65|548.29
8|131|44.379936|26.167392|12/09/2017 13:40:57 |829|93|288|66|548.29
8|131|44.379924|26.167556|12/09/2017 13:40:59 |829|93|290|67|571.92
8|131|44.379913|26.167743|12/09/2017 13:41:01 |838|94|292|67|571.92
8|131|44.379901|26.167924|12/09/2017 13:41:03 |843|94|292|68|596.20
8|131|44.379890|26.168064|12/09/2017 13:41:05 |849|94|293|68|571.92
8|131|44.379882|26.168159|12/09/2017 13:41:07 |855|94|294|67|596.20
8|131|44.379878|26.168245|12/09/2017 13:41:09 |859|94|294|68|596.20
8|131|44.379867|26.168359|12/09/2017 13:41:11 |896|94|295|68|596.20
8|131|44.379859|26.168491|12/09/2017 13:41:13 |963|95|296|69|596.20
8|131|44.379848|26.168703|12/09/2017 13:41:16 |153|95|296|69|621.13
8|131|44.379840|26.168867|12/09/2017 13:41:18 |99|95|297|69|621.13
8|131|44.379829|26.169059|12/09/2017 13:41:20 |170|95|297|69|621.13
8|131|44.379802|26.169275|12/09/2017 13:41:22 |234|95|297|69|621.13
8|131|44.379753|26.169500|12/09/2017 13:41:24 |303|95|297|69|621.13
8|131|44.379661|26.169719|12/09/2017 13:41:26 |366|95|297|68|621.13
8|131|44.379528|26.169935|12/09/2017 13:41:28 |368|94|296|68|596.20
8|131|44.379383|26.170146|12/09/2017 13:41:30 |374|94|296|67|571.92
8|131|44.379238|26.170356|12/09/2017 13:41:32 |375|94|295|67|571.92
8|131|44.379096|26.170564|12/09/2017 13:41:34 |381|94|295|66|548.29
8|131|44.378952|26.170772|12/09/2017 13:41:36 |386|94|295|66|548.29
8|131|44.378803|26.170991|12/09/2017 13:41:38 |389|94|295|66|571.92
8|131|44.378646|26.171211|12/09/2017 13:41:40 |396|94|295|66|548.29
8|131|44.378494|26.171436|12/09/2017 13:41:42 |396|94|295|66|571.92
8|131|44.378345|26.171657|12/09/2017 13:41:44 |400|94|294|66|548.29
8|131|44.378192|26.171886|12/09/2017 13:41:46 |408|94|293|65|525.31
8|131|44.378032|26.172113|12/09/2017 13:41:48 |415|93|293|65|525.31
8|131|44.377876|26.172336|12/09/2017 13:41:50 |415|93|292|65|525.31
8|131|44.377716|26.172567|12/09/2017 13:41:52 |420|93|292|65|525.31
8|131|44.377552|26.172803|12/09/2017 13:41:54 |422|93|291|64|502.96
8|131|44.377391|26.173040|12/09/2017 13:41:56 |428|93|291|64|502.96
8|131|44.377231|26.173267|12/09/2017 13:41:58 |429|93|290|64|502.96
8|131|44.377079|26.173492|12/09/2017 13:42:00 |435|93|290|64|502.96
8|130|44.376922|26.173707|12/09/2017 13:42:02 |438|92|290|64|502.96
8|130|44.376762|26.173927|12/09/2017 13:42:04 |444|93|290|64|502.96
8|130|44.376590|26.174163|12/09/2017 13:42:06 |448|93|290|64|502.96
8|130|44.376411|26.174409|12/09/2017 13:42:08 |453|92|289|63|481.23
8|130|44.376228|26.174663|12/09/2017 13:42:10 |458|91|288|63|460.12
8|130|44.376041|26.174924|12/09/2017 13:42:12 |458|91|288|63|481.23
8|130|44.375843|26.175191|12/09/2017 13:42:14 |465|91|289|63|481.23
8|130|44.375652|26.175458|12/09/2017 13:42:16 |467|91|289|63|481.23
8|130|44.375461|26.175720|12/09/2017 13:42:18 |472|91|288|63|481.23
8|130|44.375270|26.175981|12/09/2017 13:42:20 |477|91|288|63|481.23
8|130|44.375072|26.176246|12/09/2017 13:42:22 |482|91|289|63|481.23
